,Municipios,Eleccion1,Votos depositados,Votos Validos,PLC,AFSLN,YATAMA,ALN,APRE,APLI,Municipio,Winner
144,TELPANECA,ALCALDE Y VICEALCALDE,7732,7577,481,6186,0,321,294,295,Telpaneca,AFSLN
145,TOTOGALPA,ALCALDE Y VICEALCALDE,5208,5090,540,3901,0,215,215,219,Totogalpa,AFSLN
146,YALAGUINA,ALCALDE Y VICEALCALDE,3975,3898,213,3194,0,191,146,154,Yalagüina,AFSLN
147,LAS SABANAS,CONCEJALES MUNICIPALES,2625,2547,80,2286,0,74,59,48,Las Sabanas,AFSLN
148,PALACAGUINA,CONCEJALES MUNICIPALES,6087,5871,305,4909,0,309,202,146,Palacagüina,AFSLN
149,SAN JOSE DE CUSMAPA,CONCEJALES MUNICIPALES,3022,2947,161,2503,0,111,97,75,San José de Cusmapa,AFSLN
150,SAN JUAN DEL RIO COCO,CONCEJALES MUNICIPALES,8336,8086,1012,6219,0,324,310,221,San Juan del Río Coco,AFSLN
151,SAN LUCAS,CONCEJALES MUNICIPALES,6110,5834,0,5188,0,384,153,109,San Lucas,AFSLN
152,SOMOTO,CONCEJALES MUNICIPALES,13838,13216,722,11693,0,509,0,292,Somoto,AFSLN
153,TELPANECA,CONCEJALES MUNICIPALES,7732,7577,349,6635,0,241,206,146,Telpaneca,AFSLN
154,TOTOGALPA,CONCEJALES MUNICIPALES,5208,5090,390,4279,0,162,148,111,Totogalpa,AFSLN
155,YALAGUINA,CONCEJALES MUNICIPALES,3975,3898,149,3426,0,144,102,77,Yalagüina,AFSLN
156,CIUDAD SANDINO,ALCALDE Y VICEALCALDE,34968,33539,4706,23322,0,1940,1822,1749,Ciudad Sandino,AFSLN
157,EL CRUCERO,ALCALDE Y VICEALCALDE,7538,7087,1013,5084,0,335,335,320,El Crucero,AFSLN
158,MANAGUA,ALCALDE Y VICEALCALDE,392487,376201,43678,274537,0,19654,19595,18737,Managua,AFSLN
159,MATEARE,ALCALDE Y VICEALCALDE,16899,16227,2074,11850,0,830,757,716,Mateare,AFSLN
160,SAN FRANCISCO LIBRE,ALCALDE Y VICEALCALDE,3908,3789,145,3386,0,122,67,69,San Francisco Libre,AFSLN
161,SAN RAFAEL DEL SUR,ALCALDE Y VICEALCALDE,19985,19185,3581,13070,0,869,851,814,San Rafael del Sur,AFSLN
162,TICUANTEPE,ALCALDE Y VICEALCALDE,14773,14090,1469,10457,0,747,719,698,Ticuantepe,AFSLN
